indicator,description,type,credit
d0d3743384e400568587d1bd4b768f7555cc13ad163f5b0c3ed66fdc2d29b810,supermicro_cr,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
652ee7b470c393c1de1dfdcd8cb834ff0dd23c93646739f1f475f71a6c138edd,supermicro_bt,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
9f99cf2bdf2e5dbd2ccc3c09ddcc2b4cba11a860b7e74c17a1cdea6910737b11,supermicro_cr_third (obfuscated),hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
654d19620d48ff1f00a4d91566e705912d515c17d7615d0625f6b4ace80f8e3a,supermicro_cr_third (deobfuscated),hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
79aee7a4459d49dc6dfebf1a45d32ccc3769a1e5c1f231777ced3769607ba9c1,test.sh,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
da68dc9d5571ef4729adda86f5a21d3f4478ddbae2de937f34f57f450d8a3c76,downloader.sh.save,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
3bab2947305c00df66cb4d6aaef006f10aca348c17aa2fd28e53363a08b7ec68,downloader.sh,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
0243ac9f6148098de0b5f215c6e9802663284432492d29f7443a5dc36cb9aab5,crypt3.sh,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
e380c4b48cec730db1e32cc6a5bea752549bf0b1fb5e7d4a20776ef4f39a8842,crypt2_first.sh,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
fdd8c27495fbaa855603df4f774fe86bbc21743f59fd039f734feb07704805bd,bt_install.sh,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
7a15e51e5dc6a9bfe0104f731e7def854abca5154317198dad73f32e1aead740,binaryinject1.so,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
c869261902a1364dd3decb2f8dce54b81621f20abd7204a427a3365c8dcc9d78,exploit4.py,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
503276929ce5c56c626eaa5c3aca0e0160743bf3c8d415042dc3f9bb8c8b44a2,exploit3.py,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
847d0057ade1d6ca0fedc5f48e76dd076fa4611deb77c490899f49701e87b6dd,exploit1.py,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
14584a716c5378405cba188dd60cec03571965329f52cfbd8c54116fa2d59377,pwd.c,hash,Credit to Trend Micro (https://www.trendmicro.com/en_us/research/21/f/bash-ransomware-darkradiation-targets-red-hat--and-debian-based-linux-distributions.html)
