indicator,description,type,credit
33bc14d231a4afaa18f06513766d5f69d8b88f1e697cd127d24fb4b72ad44c7a,Outdated Defender executable vulnerable to DLL sideload,hash,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
d55f983c994caa160ec63a59f6b4250fe67fb3e8c43a388aec60a4a6978e9f1,Revil dropper used in Kaseya exploit,hash,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
8dd620d9aeb35960bb766458c8890ede987c33d239cf730f93fe49d90ae759dd,Revil ransomware DLL,hash,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
ncuccr.org,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
1team.es,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
4net.guru,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
35-40konkatsu.net,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
123vrachi.ru,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
4youbeautysalon.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
12starhd.online,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
101gowrie.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
8449nohate.org,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
1kbk.com.ua,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
365questions.org,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
321play.com.hk,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
candyhouseusa.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
andersongilmour.co.uk,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
facettenreich27.de,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
blgr.be,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
fannmedias.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
southeasternacademyofprosthodontics.org,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
filmstreamingvfcomplet.be,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
