indicator,description,type
Credit to McAfee ATR (https://www.mcafee.com/enterprise/en-us/assets/reports/rp-operation-dianxun.pdf),,comment
422e3b16e431daa07bae951eed08429a0c4ccf8e37746c733be512f1a5a160a3,Stage 1: Fake Flash,hash
8489ee84e810b5ed337f8496330e69d6840e7c8e228b245f6e28ac6905c19f4a,Stage 1: Fake Flash,hash
c0331d4dee56ef0a8bb8e3d31bdfd3381bafc6ee80b85b338cee4001f7fb3d8c,Stage 1: Fake Flash,hash
89a1f947b96b39bfd1fffd8d0d670dddd2c4d96f9fdae96f435f2363a483c0e1,Stage 1: Fake Flash,hash
b3fd750484fca838813e814db7d6491fea36abe889787fb7cf3fb29d9d9f5429,Stage 1: Fake Flash,hash
9ccb4ed133be5c9c554027347ad8b722f0b4c3f14bfd947edfe75a015bf085e5,Stage 1: Fake Flash,hash
4e7fc846be8932a9df07f6c5c9cbbd1721620a85c6363f51fa52d8feac68ff47,Stage 1: Fake Flash,hash
0f2e16690fb2ef2b5b4c58b343314fc32603364a312a6b230ab7b4b963160382,Stage 1: Fake Flash,hash
db36ad77875bbf622d96ae8086f44924c37034dd95e9eb6d6369cc6accd2a40d,Stage 1: Fake Flash,hash
8bd55ecb27b94b10cb9b36ab40c7ea954cf602761202546f9b9e163de1dde8eb,Stage 1: Fake Flash,hash
7de56f65ee98a8cd305faefcac66d918565f596405020178aee47a3bd9abd63c,Stage 1: Fake Flash,hash
9d4b4c39106f8e2fd036e798fc67bbd7b98284121724c0f845bca0a6d2ae3999,Stage 1: Fake Flash,hash
ac88a65345b247ea3d0cfb4d2fb1e97afd88460463a4fc5ac25d3569aea42597,Stage 1: Fake Flash,hash
37643f752302a8a3d6bb6cc31f67b8107e6bbbb0e1a725b7cebed2b79812941f,Stage 1: Fake Flash,hash
d0dd9c624bb2b33de96c29b0ccb5aa5b43ce83a54e2842f1643247811487f8d9,Stage 1: Fake Flash,hash
260ebbf392498d00d767a5c5ba695e1a124057c1c01fff2ae76db7853fe4255b,Stage 1: Fake Flash,hash
e784e95fb5b0188f0c7c82add9a3c89c5bc379eaf356a4d3876d9493a986e343,Stage 1: Fake Flash,hash
a95909413a9a72f69d3c102448d37a17659e46630999b25e7f213ec761db9e81,Stage 1: Fake Flash,hash
b7f36159aec7f3512e00bfa8aa189cbb97f9cc4752a635bc272c7a5ac1710e0b,Stage 1: Fake Flash,hash
4332f0740b3b6c7f9b438ef3caa995a40ce53b3348033b381b4ff11b4cae23bd,Stage 1: Fake Flash,hash
a8029680a25fb0144c20fe7637492bcab3c3b320b824735bb02d10babed9c938,Stage 1: Other,hash
2779937398506e8ad207f5b291ae53d8af82b9f2739b0508ae3e0cfc40ced092,Stage 2: Downloader Utility,hash
30b2bbce0ca4cb066721c94a64e2c37b7825dd72fc19c20eb0ab156bea0f8efc,Stage 2: Downloader Utility,hash
42ed73b1d5cc49e09136ec05befabe0860002c97eb94e9bad145e4ea5b8be2e2,Stage 2: Downloader Utility,hash
cf65cc6e4b2b0c3f602b16398c8c30c277b8cfaed689fe7cb61b92560d4e5b1b,Stage 2: Downloader Utility,hash
a325bbd32985c1b586486df7d92521224b8b155d464c88d11b1d0068399100c2,Stage 2: Downloader Utility,hash
740992d40b84b10aa9640214a4a490e989ea7b869cea27dbbdef544bb33b1048,Stage 2: Downloader Utility,hash
4b53a550854cfa65a800d8fb86aab726ca44610dad04325abf5c59f4832d7555,Stage 2: Downloader Utility,hash
7ea7c6406c5a80d3c15511c4d97ec1e45813e9c58431f386710d0486c4898b98,Stage 2: Downloader Utility,hash
cf4bf26b2d6f1c6055534bbe9decb579ef0180e0f8c467c1a26e2ead7567058a,Stage 2: Downloader Utility,hash
05f7fbb63d42bc2e73ef2b935cb6b3c919b7020dc1b80ed58f60484dcbd667a9,Stage 2: Downloader Utility,hash
4ccd825cf4a9fdfbea08fb4e4b3ab08e846bc2efb05ccac794e786ec4335cbb4,Stage 2: Downloader Utility,hash
8097a623dbcdbd8f880a294fa80c8ea152707f0acd75ab4de158f3abfd4715a3,Stage 2: Downloader Utility,hash
0d7d4dc173c88c4f72c8f9f419ae8473d044f4b3e8f32e4a0f34fe4bbc698776,Stage 2: Downloader Utility,hash
42ed73b1d5cc49e09136ec05befabe0860002c97eb94e9bad145e4ea5b8be2e2,Stage 2: Downloader Utility,hash
2779937398506e8ad207f5b291ae53d8af82b9f2739b0508ae3e0cfc40ced092,AddTaskPlanDllVersion.dll,hash
75b30164a31d305f47f2c3c2121432e6d7b316cfb3deb6b39f78180168bc9472,AddTaskPlanDllVersion.dll,hash
a8ef63238100c3837d097671c8e8d2cb4102e137055568fd04613747ba632fdc,AddTaskPlanDllVersion.dll,hash
a11b6e2b02ae6531dfa85e0e1733a79816b54d2c91fed6526e43b8d07c63020a,Stage 3: Cobalt Strike Beacon,hash
9c9cd78e2d6dc150b98b14c8dc53ab683c0ebd52a438f97b5be3bfd66a309652,Stage 3: Cobalt Strike Beacon,hash
3be627980f2bd07be7ff961637eb73865955760f0039ebf9d440064c54a9034e,Stage 3: Cobalt Strike Beacon,hash
d2642d3731508b52efa34adf57701f18e2f8b70addf31e33e445e75b9a909822,Stage 3: Cobalt Strike Beacon,hash
update.flach.cn,Download URLs,dns
mobile.flach.cn,Download URLs,dns
www.flach.cn,Download URLs,dns
